nu_cm,R_pct
400.1569,79.74067338547361
400.639,79.39732505333393
401.1211,79.0739483341857
401.6032,78.81376594857296
402.0853,78.67271634248961
402.5674,78.53292448392054
403.0496,78.41290855184529
403.5317,78.30930417576529
404.0138,78.22115694167906
404.4959,78.16216133206404
404.978,78.10751758308652
405.4601,78.02471583588007
405.9423,77.92015025361087
406.4244,77.80899407456513
406.9065,77.68816481299078
407.3886,77.55674786667241
407.8707,77.42409463411121
408.3528,77.29802853692688
408.835,77.19215116832824
409.3171,77.12154772055361
409.7992,77.08188703883546
410.2813,77.06312914032367
410.7634,77.06433309925927
411.2455,77.08232748669285
411.7277,77.11275891874784
412.2098,77.15575181413121
412.6919,77.20071253606974
413.174,77.23558726019498
413.6561,77.27277704182221
414.1382,77.32827274338723
414.6204,77.40736495573559
415.1025,77.51846979158333
415.5846,77.65679183273903
416.0667,77.80538976831475
416.5488,77.97577859386286
417.0309,78.17648926717628
417.5131,78.37353665608696
417.9952,78.53351867277657
418.4773,78.61056853462726
418.9594,78.5578595655359
419.4415,78.39612035206457
419.9236,78.16522713860701
420.4058,77.8884470680168
420.8879,77.59532617475337
421.37,77.30039086724871
421.8521,77.00732775617428
422.3342,76.73849528473684
422.8163,76.51521146526102
423.2985,76.33233336868575
423.7806,76.17819774556057
424.2627,76.04471877679842
424.7448,75.92031433409852
425.2269,75.79869690202311
425.709,75.67824940711719
426.1912,75.54899743395782
426.6733,75.40107545926182
427.1554,75.24080145999855
427.6375,75.07937867888067
428.1196,74.92205185389757
428.6017,74.77591539430333
429.0839,74.64946286071671
429.566,74.54784730509527
430.0481,74.48202017874642
430.5302,74.4622228482457
431.0123,74.48089814083748
431.4944,74.52475823894935
431.9766,74.58451200960546
432.4587,74.64909695206721
432.9408,74.70787946886404
433.4229,74.75238075488043
433.905,74.77229128425562
434.3871,74.75769077182659
434.8693,74.70689620782939
435.3514,74.62324568980577
435.8335,74.50519272739453
436.3156,74.35312964358913
436.7977,74.17851057556778
437.2798,73.99425962212092
437.762,73.81364062449701
438.2441,73.65119547429005
438.7262,73.51038141353864
439.2083,73.38924999426295
439.6904,73.29387652388156
440.1725,73.22793859969178
440.6547,73.18544095851796
441.1368,73.15993918936665
441.6189,73.13847583922593
442.101,73.10711965553435
442.5831,73.06731988287682
443.0652,73.02304812841915
443.5474,72.9776844243554
444.0295,72.93573622775669
444.5116,72.89085269830544
444.9937,72.83413045657875
445.4758,72.7610146691714
445.9579,72.66689608120572
446.4401,72.55143757404298
446.9222,72.4173644961819
447.4043,72.26411739453992
447.8864,72.09188396581787
448.3685,71.90629873366505
448.8506,71.71395102371834
449.3328,71.52126238977587
449.8149,71.33525261446064
450.297,71.15936641690608
450.7791,70.9950464824916
451.2612,70.84639765759215
451.7433,70.71651004633897
452.2255,70.60430121370754
452.7076,70.50779172311607
