nu_cm,R_pct
400.1569,91.41886804094484
400.639,91.21073766326907
401.1211,90.96822385763996
401.6032,90.80160352327958
402.0853,90.68077343238132
402.5674,90.4937847511072
403.0496,90.25302432886438
403.5317,89.9706463164834
404.0138,89.65298399926789
404.4959,89.32173861701993
404.978,88.9793827466997
405.4601,88.62855049490912
405.9423,88.2955400240018
406.4244,88.00506891534859
406.9065,87.78543058956468
407.3886,87.66154294662681
407.8707,87.62139506640692
408.3528,87.65244052533996
408.835,87.7111433189215
409.3171,87.815920316192
409.7992,87.9272323333849
410.2813,88.02771720834626
410.7634,88.08020163929571
411.2455,88.04896066397943
411.7277,87.94500943217223
412.2098,87.79078095154232
412.6919,87.60207898136898
413.174,87.40064485814379
413.6561,87.1903841441256
414.1382,86.96675028453879
414.6204,86.74472169402807
415.1025,86.53803838152238
415.5846,86.34300024644622
416.0667,86.15629218852473
416.5488,85.96674478407019
417.0309,85.76105542939148
417.5131,85.55224539501538
417.9952,85.35841724492256
418.4773,85.18905319536543
418.9594,85.05526335204169
419.4415,84.95627520324892
419.9236,84.88330493593837
420.4058,84.84155801194153
420.8879,84.83442403032885
421.37,84.84649586867344
421.8521,84.8618670360571
422.3342,84.86015896473467
422.8163,84.82013241460098
423.2985,84.7459800245252
423.7806,84.6499989295738
424.2627,84.53711942868195
424.7448,84.41485763078016
425.2269,84.28965137844735
425.709,84.16559880184565
426.1912,84.05207135288613
426.6733,83.95854601268769
427.1554,83.88574274962544
427.6375,83.83130678322154
428.1196,83.79493133107013
428.6017,83.77477437076716
429.0839,83.76668291057499
429.566,83.76612967145759
430.0481,83.76701556209316
430.5302,83.76286885211374
431.0123,83.75027022634737
431.4944,83.727152988282
431.9766,83.69097012970393
432.4587,83.63989623460824
432.9408,83.57389262317287
433.4229,83.49426288349466
433.905,83.40196864310592
434.3871,83.29859709315866
434.8693,83.1883974457097
435.3514,83.07622229380054
435.8335,82.96636966864989
436.3156,82.86309937998868
436.7977,82.76907086095436
437.2798,82.68525907703886
437.762,82.61328481095484
438.2441,82.55433576601669
438.7262,82.50513651979507
439.2083,82.46045531304863
439.6904,82.41794130037124
440.1725,82.37447016622423
440.6547,82.32428578069394
441.1368,82.26294707228448
441.6189,82.18311444562266
442.101,82.07775370006948
442.5831,81.95038847814511
443.0652,81.80745888641732
443.5474,81.65335909487622
444.0295,81.49392656819563
444.5116,81.33212176456466
444.9937,81.1689621162216
445.4758,81.01015477216868
445.9579,80.86100269060628
446.4401,80.72088389463237
446.9222,80.5889911680206
447.4043,80.46272830424395
447.8864,80.33728977670671
448.3685,80.21624039259306
448.8506,80.10847987466529
449.3328,80.01169292672553
449.8149,79.9155056335626
450.297,79.83092723914862
450.7791,79.776160754547
451.2612,79.7288318652614
451.7433,79.6585463515363
452.2255,79.57237619824954
452.7076,79.48306681206529
453.1897,79.39199127479426
453.6718,79.30101240307243
454.1539,79.2088633167579
454.636,79.11308377873425
455.1182,79.01078381462196
455.6003,78.8995561179697
456.0824,78.78262252019998
456.5645,78.66343507011021
457.0466,78.5471200309996
457.5287,78.4388832075951
458.0109,78.33425541931274
