scenario,profit_wan
0,1201.5891407152776
1,1112.5930360933373
2,508.2419060158031
3,864.9751702020899
4,1085.201087343992
5,731.3516271127595
6,1004.2507087798728
7,1436.28744720668
8,983.6665310325574
9,869.8496674447916
10,1394.848154608268
11,680.3375284478819
12,1154.3873137301166
13,849.1272248775017
14,750.0498174252475
15,1006.5518087586034
16,1039.6060938720775
17,731.6477671532879
18,763.1338573082147
19,898.022833543633
20,615.8259867510923
21,526.9310370913215
22,1514.450195305395
23,2068.595334258267
24,1211.6099298756812
25,588.893006649233
26,742.7445327487715
27,876.4509760883706
28,1109.5518170765279
29,1488.5726355667928
30,1576.6757548688267
31,1215.735842283132
32,955.2760187592016
33,529.1500851207599
34,961.0481088468449
35,682.0613800919825
36,1886.7943289109596
37,467.99170558481796
38,1073.4984635968874
39,1599.488193658958
40,984.149197925023
41,284.15258667825333
42,746.794356664872
43,1803.1912173666374
44,894.586294921242
45,732.4674663496396
46,769.4667743667463
47,1048.379001582672
48,788.7163188322155
49,791.6246106573088
50,1131.3167943605629
51,1450.7685062626972
52,904.1623266312868
53,719.1137939584048
54,238.688280845418
55,439.02378626082094
56,1034.7744529518104
57,1244.2305869221675
58,1113.578764581793
59,680.0204783299725
60,612.8887794569731
61,938.4157179209357
62,1123.6255302571321
63,708.1729526007801
64,813.7507883013508
65,391.6883158019375
66,878.7546890887488
67,1574.482435329262
68,989.5603797635589
69,908.4669046528833
70,1014.983585670194
71,988.4743046950314
72,799.3283295117232
73,1286.6084283628809
74,1016.7834215924928
75,1077.7309095754156
76,923.3534325638834
77,1658.7872169704196
78,1374.6077850492525
79,1068.8116143825575
80,1090.2420247067582
81,1683.1606296854966
82,823.267583879883
83,327.33551091560383
84,1251.890941318288
85,891.0162177868165
86,821.8018088773422
87,824.758366068438
88,887.9625158698954
89,1040.754526027287
90,1642.1157463169227
91,805.2082257543016
92,828.4539366182255
93,927.2492056044891
94,1108.3904783374524
95,360.67228837672843
96,1008.7049846851035
97,372.564176167608
98,604.5762023325638
99,701.5222763208723
100,286.1663217426013
101,360.7951295794757
102,1215.409520665589
103,985.964493978633
104,479.2321471157439
105,638.9049267727794
106,932.7631066798517
107,482.47104865802993
108,578.5615271209294
109,636.8590438596874
110,1019.2467050131006
111,1115.1852641967555
112,717.0657118012047
113,1160.9833985607904
114,850.7593146408499
115,1129.4229590629695
116,590.4517874423102
117,793.5920964703353
118,1414.9033403184915
119,1306.4656552016963
120,526.7423090654088
121,1936.6972421778135
122,1250.2635340865202
123,916.5036565458395
124,798.945854769869
125,669.8753322533216
126,1223.694686086885
127,2026.2759109780218
128,806.0787265055328
129,801.6674664190997
130,1592.4633296052032
131,948.4914535916362
132,1036.6442036955464
133,1148.6333643716525
134,1223.9733416679555
135,1480.1910665880887
136,891.094064857727
137,599.9125988843712
138,1023.9169988863612
139,1204.80736235306
140,696.3909476612728
141,1208.3754093654313
142,1118.3957059921954
143,418.86536082765684
144,1037.7133778820007
145,1477.5341383940959
146,604.8908765699637
147,956.1050038864546
148,1011.0802773549108
149,1313.4010289544328
150,735.2590578487593
151,250.89878990180046
152,416.76501637731565
153,1264.434735558363
154,775.357104088997
155,464.9006000196375
156,1252.0388778245053
157,1328.9647756981494
158,1096.7843296255471
159,353.0320061945122
160,1402.8049505516756
161,920.5211210134037
162,1337.708532334546
163,658.2467123501804
164,386.12492241870666
165,853.5418604779139
166,295.5616837854007
167,1056.232210687752
168,717.4564846070126
169,1159.231824540225
170,1077.2985818530851
171,748.5897261922082
172,857.637948879355
173,723.0477572157323
174,1428.5542506732795
175,1434.4376373716143
176,1608.9717374760653
177,1022.7381942059692
178,963.2311161010142
179,1396.6896374489024
180,126.05768915017136
181,368.21358235808015
182,1329.6055792807529
183,988.6082118664519
184,1387.4504678788542
185,625.9978531164039
186,485.15191192439573
187,1134.7188006480962
188,930.379425539965
189,1096.219471926117
190,1405.3620104510726
191,1103.5052927594543
192,868.4096016070682
193,841.0344496129073
194,1104.5927452327921
195,1460.334558614003
196,473.07672839776797
197,875.8518991835272
198,573.6546946698545
199,1053.9164269548842
200,941.3336363131931
201,1219.3412972791273
202,379.7791848967221
203,1143.837151737231
204,910.0419971864139
205,1431.217984487935
206,653.4461671263689
207,942.3616225154475
208,1118.1164702455824
209,1162.3352145238525
210,231.21624797069168
211,1315.2199108842533
212,1082.8008929116213
213,149.24623828815407
214,1499.4726801675336
215,1301.2789924465076
216,628.8212760340053
217,976.2242841753623
218,871.4094738423385
219,1603.61399656547
220,1185.6005142344761
221,214.84564885377102
222,382.9638714089958
223,920.9818279457583
224,612.4866076142689
225,723.7628190869123
226,1114.2916444011478
227,1152.7693180131103
228,237.70586336447428
229,626.7622593244622
230,430.3921877805874
231,1125.1549000036273
232,1100.1214496051402
233,984.1878193263504
234,726.9911897565363
235,956.6821317180401
236,834.2264488749448
237,955.9277377044532
238,551.7536334896015
239,469.62548807855023
240,587.2660085056797
241,1050.9278516305035
242,516.1098581964476
243,960.4639896977264
244,538.3550838459948
245,1574.4505174906305
246,104.14821815367769
247,604.9723315767698
248,1667.5386924342656
249,1603.9053265370364
250,939.8779270744507
251,1160.6352467392667
252,671.7215002423542
253,1137.1937013854865
254,1266.6337188485543
255,1231.7973756538936
256,963.0204895007754
257,1340.4592642202224
258,733.8988077415682
259,982.216087369212
260,494.74154587842247
261,1111.1990468482202
262,1221.7472785216123
263,686.5171478371976
